"","locality","code","grass","moss","sedge","forb","fern","bare","woody","shrub","lon_utm","lat_utm","lon_dd","lat_dd","fwlength","thorax","spotting","rfray","rhray","n","resid"
"1","Bellows Falls","BF",46,3.5,0,34,0.5,4,10,0,703877,4784632,-72.49113,43.18695,15.8,3.6,1.6,1.6,1.4,62,-0.110526315789483
"2","Springfield","SP",49,0,0,24,1,0.5,14.4,0,707151,4793906,-72.4474,43.26949,16,3.7,1.1,2,1.5,51,-0.0789473684210519
"3","Mount Ascutney","MA",49,0,4,17,5,0,0,0,708310,4806931,-72.42819,43.38634,16.2,3.8,1.2,1.9,1.6,58,-0.0473684210526331
"4","Bernardston","BE",49,1,0,29,0,0,11,7,696647,4725212,-72.60087,42.65425,16.7,3.7,1.4,1.8,1.6,27,0.621052631578948
"5","Lyme","LY",50,0,0,14,4,0,0,0,729474,4856926,-72.146,43.82977,15.6,3.6,1.1,1.8,1.3,52,-0.310526315789471
"6","Fairlee","FA",50,5,0,12,0,2,0,0,729045,4868779,-72.14624,43.93649,15.9,3.8,1,1.8,1.5,25,-0.347368421052632
"7","Newport","NW",49,0,0,35,0,0,0,0,724169,4977885,-72.15977,44.91907,16.7,3.7,1.1,1.8,1.3,21,0.621052631578948
"8","Orleans","OR",49,0,0,41,0,0,19,0,723193,4960641,-72.1797,44.76433,16.1,3.8,1.4,1.9,1.7,41,-0.147368421052631
"9","Lyndonville","LN",50,0,0,9,0,0,3,0,734359,4935471,-72.05029,44.53447,16,3.7,1.4,1.9,1.7,52,-0.0789473684210518
"10","St. Johnsbury","SJ",49,0,0,42,0,0,0,0,734215,4925655,-72.05655,44.44626,15.7,3.6,1.2,1.9,1.7,56,-0.210526315789471
"11","Hanover","HA",49,0,0,38,5,0,5,0,715984,4843575,-72.31896,43.71376,16,3.6,1.2,1.8,1.8,65,0.0894736842105296
