Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
05/01/2020,02/01/2020,04/25/2020,AL,Mobile County,1097,31,1142
05/01/2020,02/01/2020,04/25/2020,AL,Jefferson County,1073,29,2136
05/01/2020,02/01/2020,04/25/2020,AL,Lee County,1081,25,270
05/01/2020,02/01/2020,04/25/2020,AL,Houston County,1069,13,440
05/01/2020,02/01/2020,04/25/2020,AR,Pulaski County,5119,18,1498
05/01/2020,02/01/2020,04/25/2020,AZ,Maricopa County,4013,90,9245
05/01/2020,02/01/2020,04/25/2020,AZ,Pima County,4019,54,2814
05/01/2020,02/01/2020,04/25/2020,AZ,Coconino County,4005,37,296
05/01/2020,02/01/2020,04/25/2020,CA,Los Angeles County,6037,575,17416
05/01/2020,02/01/2020,04/25/2020,CA,San Diego County,6073,92,5812
05/01/2020,02/01/2020,04/25/2020,CA,Santa Clara County,6085,81,2891
05/01/2020,02/01/2020,04/25/2020,CA,Riverside County,6065,79,4464
05/01/2020,02/01/2020,04/25/2020,CA,San Bernardino County,6071,64,3640
05/01/2020,02/01/2020,04/25/2020,CA,Alameda County,6001,49,2683
05/01/2020,02/01/2020,04/25/2020,CA,San Mateo County,6081,38,1230
05/01/2020,02/01/2020,04/25/2020,CA,Orange County,6059,35,5242
05/01/2020,02/01/2020,04/25/2020,CA,Sacramento County,6067,30,3029
05/01/2020,02/01/2020,04/25/2020,CA,San Francisco County,6075,22,1568
05/01/2020,02/01/2020,04/25/2020,CA,Tulare County,6107,20,793
05/01/2020,02/01/2020,04/25/2020,CA,Contra Costa County,6013,19,2090
05/01/2020,02/01/2020,04/25/2020,CA,Ventura County,6111,18,1477
05/01/2020,02/01/2020,04/25/2020,CA,Placer County,6061,14,994
05/01/2020,02/01/2020,04/25/2020,CA,San Joaquin County,6077,14,1369
05/01/2020,02/01/2020,04/25/2020,CO,Arapahoe County,8005,127,1275
05/01/2020,02/01/2020,04/25/2020,CO,Denver County,8031,84,1374
05/01/2020,02/01/2020,04/25/2020,CO,Adams County,8001,63,898
05/01/2020,02/01/2020,04/25/2020,CO,Weld County,8123,60,448
05/01/2020,02/01/2020,04/25/2020,CO,El Paso County,8041,56,1335
05/01/2020,02/01/2020,04/25/2020,CO,Jefferson County,8059,47,1314
05/01/2020,02/01/2020,04/25/2020,CO,Douglas County,8035,23,408
05/01/2020,02/01/2020,04/25/2020,CO,Boulder County,8013,21,618
05/01/2020,02/01/2020,04/25/2020,CO,Larimer County,8069,20,704
,,,CO,Montrose County,8085,10,119
05/01/2020,02/01/2020,04/25/2020,CT,Fairfield County,9001,54,301
05/01/2020,02/01/2020,04/25/2020,CT,Hartford County,9003,32,326
05/01/2020,02/01/2020,04/25/2020,CT,New Haven County,9009,19,434
05/01/2020,02/01/2020,04/25/2020,DC,District of Columbia,11001,66,1464
05/01/2020,02/01/2020,04/25/2020,DE,New Castle County,10003,23,1078
05/01/2020,02/01/2020,04/25/2020,DE,Sussex County,10005,23,585
05/01/2020,02/01/2020,04/25/2020,FL,Miami-Dade County,12086,208,5520
05/01/2020,02/01/2020,04/25/2020,FL,Broward County,12011,142,3948
05/01/2020,02/01/2020,04/25/2020,FL,Palm Beach County,12099,137,4123
05/01/2020,02/01/2020,04/25/2020,FL,Orange County,12095,29,2519
05/01/2020,02/01/2020,04/25/2020,FL,Manatee County,12081,27,1127
05/01/2020,02/01/2020,04/25/2020,FL,Duval County,12031,23,2465
05/01/2020,02/01/2020,04/25/2020,FL,Lee County,12071,20,1952
05/01/2020,02/01/2020,04/25/2020,FL,Pinellas County,12103,19,3181
05/01/2020,02/01/2020,04/25/2020,FL,Hillsborough County,12057,19,3021
05/01/2020,02/01/2020,04/25/2020,FL,Sarasota County,12115,19,1575
05/01/2020,02/01/2020,04/25/2020,FL,Charlotte County,12015,18,830
,,,FL,Collier County,12021,11,1001
,,,FL,Volusia County,12127,11,1987
,,,FL,Lake County,12069,11,1023
,,,FL,Martin County,12085,10,533
,,,FL,Polk County,12105,10,1811
05/01/2020,02/01/2020,04/25/2020,GA,Fulton County,13121,64,1887
05/01/2020,02/01/2020,04/25/2020,GA,Dougherty County,13095,52,322
05/01/2020,02/01/2020,04/25/2020,GA,Cobb County,13067,29,1189
05/01/2020,02/01/2020,04/25/2020,GA,DeKalb County,13089,26,1070
05/01/2020,02/01/2020,04/25/2020,GA,Richmond County,13245,24,850
05/01/2020,02/01/2020,04/25/2020,GA,Gwinnett County,13135,22,849
05/01/2020,02/01/2020,04/25/2020,GA,Fayette County,13113,19,259
05/01/2020,02/01/2020,04/25/2020,GA,Thomas County,13275,18,171
05/01/2020,02/01/2020,04/25/2020,GA,Carroll County,13045,14,253
05/01/2020,02/01/2020,04/25/2020,GA,Bartow County,13015,13,224
,,,GA,Chatham County,13051,11,769
,,,GA,Floyd County,13115,11,354
,,,GA,Bibb County,13021,11,624
,,,GA,Houston County,13153,11,293
,,,GA,Henry County,13151,10,404
